ts_utc_iso,ts_epoch,level,logger,message,exception
2026-01-13T21:50:57.689550+00:00,1768341057.689550,INFO,__main__,21:50:57Z  KXBTC15M-26JAN131700-00  tte=9m02s  spot=$94123.13  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=28.35%  mkt=34.00%  EV_yes=-7.65%  EV_no=2.65%  decision=NO  kelly=1.41%  qty=0,
2026-01-13T21:51:03.603834+00:00,1768341063.603834,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:03.655522+00:00,1768341063.655522,INFO,__main__,21:51:03Z  KXBTC15M-26JAN131700-00  tte=8m56s  spot=$94134.03  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=32.03%  mkt=36.00%  EV_yes=-5.97%  EV_no=-0.03%  decision=-  kelly=-  qty=-,
2026-01-13T21:51:09.512340+00:00,1768341069.512340,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:09.562651+00:00,1768341069.562651,INFO,__main__,21:51:09Z  KXBTC15M-26JAN131700-00  tte=8m50s  spot=$94134.04  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=32.03%  mkt=35.00%  EV_yes=-4.97%  EV_no=-0.03%  decision=-  kelly=-  qty=-,
2026-01-13T21:51:15.605061+00:00,1768341075.605061,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:15.655124+00:00,1768341075.655124,INFO,__main__,21:51:15Z  KXBTC15M-26JAN131700-00  tte=8m44s  spot=$94143.39  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=36.67%  mkt=39.00%  EV_yes=-4.33%  EV_no=-1.67%  decision=-  kelly=-  qty=-,
2026-01-13T21:51:21.511050+00:00,1768341081.511050,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:21.563582+00:00,1768341081.563582,INFO,__main__,21:51:21Z  KXBTC15M-26JAN131700-00  tte=8m38s  spot=$94128.01  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=30.00%  mkt=35.00%  EV_yes=-7.00%  EV_no=1.00%  decision=NO  kelly=0.91%  qty=0,
2026-01-13T21:51:27.408028+00:00,1768341087.408028,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:27.462114+00:00,1768341087.462114,INFO,__main__,21:51:26Z  KXBTC15M-26JAN131700-00  tte=8m33s  spot=$94122.90  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=27.94%  mkt=31.00%  EV_yes=-5.06%  EV_no=0.06%  decision=NO  kelly=0.69%  qty=0,
2026-01-13T21:51:33.328944+00:00,1768341093.328944,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:33.376894+00:00,1768341093.376894,INFO,__main__,21:51:32Z  KXBTC15M-26JAN131700-00  tte=8m27s  spot=$94122.90  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=27.94%  mkt=31.00%  EV_yes=-5.06%  EV_no=0.06%  decision=NO  kelly=0.69%  qty=0,
2026-01-13T21:51:39.605082+00:00,1768341099.605082,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:39.659222+00:00,1768341099.659222,INFO,__main__,21:51:39Z  KXBTC15M-26JAN131700-00  tte=8m20s  spot=$94122.91  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=27.94%  mkt=31.00%  EV_yes=-5.06%  EV_no=0.06%  decision=NO  kelly=0.69%  qty=0,
2026-01-13T21:51:45.705870+00:00,1768341105.705870,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:45.756153+00:00,1768341105.756153,INFO,__main__,21:51:45Z  KXBTC15M-26JAN131700-00  tte=8m14s  spot=$94122.91  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=27.94%  mkt=31.00%  EV_yes=-5.06%  EV_no=0.06%  decision=NO  kelly=0.69%  qty=0,
2026-01-13T21:51:51.656077+00:00,1768341111.656077,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:51.709841+00:00,1768341111.709841,INFO,__main__,21:51:51Z  KXBTC15M-26JAN131700-00  tte=8m08s  spot=$94101.99  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=20.82%  mkt=26.00%  EV_yes=-7.18%  EV_no=2.18%  decision=NO  kelly=1.67%  qty=1,
2026-01-13T21:51:51.710122+00:00,1768341111.710122,INFO,tradebot.tools.order_execution,ENTRY_BLOCK KXBTC15M-26JAN131700-00 side=NO ev_after_fees=0.0218 <= min_entry_edge=0.0250,
2026-01-13T21:51:57.682832+00:00,1768341117.682832,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:51:57.735762+00:00,1768341117.735762,INFO,__main__,21:51:57Z  KXBTC15M-26JAN131700-00  tte=8m02s  spot=$94097.95  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=19.72%  mkt=25.00%  EV_yes=-7.28%  EV_no=1.28%  decision=NO  kelly=1.43%  qty=0,
2026-01-13T21:52:03.570991+00:00,1768341123.570991,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:03.625644+00:00,1768341123.625644,INFO,__main__,21:52:03Z  KXBTC15M-26JAN131700-00  tte=7m56s  spot=$94109.11  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=22.47%  mkt=25.00%  EV_yes=-4.53%  EV_no=-1.47%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:09.550230+00:00,1768341129.550230,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:09.612670+00:00,1768341129.612670,INFO,__main__,21:52:09Z  KXBTC15M-26JAN131700-00  tte=7m50s  spot=$94105.41  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=22.47%  mkt=25.00%  EV_yes=-4.53%  EV_no=-1.47%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:15.633822+00:00,1768341135.633822,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:15.689901+00:00,1768341135.689901,INFO,__main__,21:52:15Z  KXBTC15M-26JAN131700-00  tte=7m44s  spot=$94100.09  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=20.52%  mkt=24.00%  EV_yes=-5.48%  EV_no=0.48%  decision=NO  kelly=1.08%  qty=0,
2026-01-13T21:52:21.678429+00:00,1768341141.678429,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:21.730720+00:00,1768341141.730720,INFO,__main__,21:52:21Z  KXBTC15M-26JAN131700-00  tte=7m38s  spot=$94104.11  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=21.37%  mkt=24.00%  EV_yes=-4.63%  EV_no=-1.37%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:27.689553+00:00,1768341147.689553,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:27.743957+00:00,1768341147.743957,INFO,__main__,21:52:27Z  KXBTC15M-26JAN131700-00  tte=7m32s  spot=$94102.01  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=20.52%  mkt=22.00%  EV_yes=-3.48%  EV_no=-1.52%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:33.660460+00:00,1768341153.660460,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:33.712578+00:00,1768341153.712578,INFO,__main__,21:52:33Z  KXBTC15M-26JAN131700-00  tte=7m26s  spot=$94104.03  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=21.37%  mkt=23.00%  EV_yes=-3.63%  EV_no=-1.37%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:39.710510+00:00,1768341159.710510,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:39.762721+00:00,1768341159.762721,INFO,__main__,21:52:39Z  KXBTC15M-26JAN131700-00  tte=7m20s  spot=$94095.01  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=19.23%  mkt=22.00%  EV_yes=-4.77%  EV_no=-1.23%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:45.929762+00:00,1768341165.929762,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:45.985151+00:00,1768341165.985151,INFO,__main__,21:52:45Z  KXBTC15M-26JAN131700-00  tte=7m14s  spot=$94096.05  strike=$94165.14  fee_mode=taker  fee/c=-  p_up=19.34%  mkt=22.00%  EV_yes=-4.66%  EV_no=-2.34%  decision=-  kelly=-  qty=-,
2026-01-13T21:52:51.867379+00:00,1768341171.867379,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
2026-01-13T21:52:51.918626+00:00,1768341171.918626,INFO,__main__,21:52:51Z  KXBTC15M-26JAN131700-00  tte=7m08s  spot=$94092.04  strike=$94165.14  fee_mode=taker  fee/c=$0.0200  p_up=16.83%  mkt=22.00%  EV_yes=-7.17%  EV_no=0.17%  decision=NO  kelly=1.14%  qty=0,
2026-01-13T21:52:57.799218+00:00,1768341177.799218,INFO,__main__,BALANCE available=$46.55 portfolio_value=$0.00,
