market_key,market_title,market_slug,outcome,entry_ts,exit_ts,hold_time_seconds,entry_price,exit_price,size,pnl_per_contract,pnl_total,captured_cents,entry_time_to_expiry_seconds
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252077.000,1768252127.000,50.000,0.800000,0.790000,1.130000,-0.010000,-0.011300,-1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252077.000,1768252127.000,50.000,0.800000,0.790000,3.870000,-0.010000,-0.038700,-1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252099.000,1768252141.000,42.000,0.810000,0.800000,5.000000,-0.010000,-0.050000,-1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252113.000,1768252121.000,8.000,0.200000,0.210000,5.000000,0.010000,0.050000,1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252113.000,1768252121.000,8.000,0.210000,0.210000,5.000000,0.000000,0.000000,0.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252117.000,1768252121.000,4.000,0.200000,0.210000,5.000000,0.010000,0.050000,1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252129.000,1768252167.000,38.000,0.770000,0.820000,5.000000,0.050000,0.250000,5.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252129.000,1768252169.000,40.000,0.770000,0.830000,4.971200,0.060000,0.298272,6.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252169.000,38.000,0.780000,0.830000,0.028800,0.050000,0.001440,5.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252181.000,50.000,0.780000,0.840000,5.000000,0.060000,0.300000,6.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252261.000,130.000,0.780000,0.770000,2.000000,-0.010000,-0.020000,-1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252261.000,130.000,0.780000,0.770000,1.090000,-0.010000,-0.010900,-1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252263.000,132.000,0.780000,0.770000,1.910000,-0.010000,-0.019100,-1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252307.000,176.000,0.780000,0.790000,2.080000,0.010000,0.020800,1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252307.000,176.000,0.780000,0.790000,2.920000,0.010000,0.029200,1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252131.000,1768252313.000,182.000,0.780000,0.850000,2.838700,0.070000,0.198709,7.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252139.000,1768252147.000,8.000,0.210000,0.220000,5.000000,0.010000,0.050000,1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252139.000,1768252157.000,18.000,0.210000,0.240000,5.000000,0.030000,0.150000,3.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252139.000,1768252191.000,52.000,0.210000,0.190000,5.000000,-0.020000,-0.100000,-2.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252139.000,1768252229.000,90.000,0.210000,0.220000,5.000000,0.010000,0.050000,1.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252139.000,1768252229.000,90.000,0.210000,0.210000,5.000000,0.000000,0.000000,0.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Up,1768252139.000,1768252239.000,100.000,0.210000,0.250000,1.010275,0.040000,0.040411,4.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252157.000,1768252313.000,156.000,0.770000,0.850000,2.161300,0.080000,0.172904,8.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252157.000,1768252313.000,156.000,0.770000,0.830000,5.000000,0.060000,0.300000,6.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252157.000,1768252313.000,156.000,0.770000,0.840000,5.000000,0.070000,0.350000,7.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252157.000,1768252315.000,158.000,0.770000,0.860000,5.000000,0.090000,0.450000,9.0000,
0x78afd3468f826abf30e4f4a03f6590504046876698cc459aaad5e862abf7b760,"Bitcoin Up or Down - January 12, 4:00PM-4:15PM ET",btc-updown-15m-1768251600,Down,1768252157.000,1768252317.000,160.000,0.770000,0.870000,0.697600,0.100000,0.069760,10.0000,
