ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,run_id,poll_id,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,fields_json,exception
2026-01-19T15:22:23.609157+00:00,1768836143.609157,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s run_id=%s,CSV_LOG enabled path=runs\btc15m_live_v2_20260119_152223.csv run_id=20260119_152223_f08dd9da,runs\btc15m_live_v2_20260119_152223.csv,20260119_152223_f08dd9da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:32.169550+00:00,1768836152.169550,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=92968.80 kr_mid=92957.45 composite=92963.13 diff=+11.35,92968.80,92957.45,92963.13,+11.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:32.169827+00:00,1768836152.169827,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768836151295 now_ms_local=1768836151268 trades_ingested=100 vwap_count=100 vwap_60s=92988.18 vwap_age_ms=0 cb_bid=92968.80 cb_ask=92968.81 cb_mid=92968.80,1768836151295,1768836151268,100,100,92988.18,0,92968.80,92968.81,92968.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:33.400428+00:00,1768836153.400428,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$0.01 portfolio_value=$0.00,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:33.449481+00:00,1768836153.449481,INFO,__main__,,15:22:32Z  KXBTC15M-26JAN191030-30  tte=7m27s  spot=$92988.18  strike=$92953.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=71.48%  mkt=56.00%  EV_yes=13.48%  EV_no=-20.48%  decision=YES  kelly=3.52%  qty=0,15:22:32Z  KXBTC15M-26JAN191030-30  tte=7m27s  spot=$92988.18  strike=$92953.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=71.48%  mkt=56.00%  EV_yes=13.48%  EV_no=-20.48%  decision=YES  kelly=3.52%  qty=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:33.449786+00:00,1768836153.449786,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN191030-30,KXBTC15M-26JAN191030-30,,,,,,,,,,,,,,,,,,,,20260119_152223_f08dd9da,0,,KXBTC15M-26JAN191030-30,,,YES,0.035186816887422034,0,,,92988.18117414444,92953.93,floor_strike,447,,,taker,,,,,0.714821994304657,0.285178005695343,0.56,0.47,,,,,,,"{""coinbase_best_ask"": 92968.81, ""coinbase_best_bid"": 92968.8, ""coinbase_mid_usd"": 92968.805, ""coinbase_vwap_60s"": 92988.18117414444, ""coinbase_vwap_age_ms"": 0, ""coinbase_vwap_count"": 100, ""spot_source"": ""vwap_60s""}",
2026-01-19T15:22:44.074414+00:00,1768836164.074414,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=92960.01 kr_mid=92961.65 composite=92960.83 diff=-1.64,92960.01,92961.65,92960.83,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:44.074639+00:00,1768836164.074639,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768836163190 now_ms_local=1768836163190 trades_ingested=42 vwap_count=142 vwap_60s=92987.45 vwap_age_ms=395 cb_bid=92960.00 cb_ask=92960.01 cb_mid=92960.01,1768836163190,1768836163190,42,142,92987.45,395,92960.00,92960.01,92960.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:45.056065+00:00,1768836165.056065,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$0.01 portfolio_value=$0.00,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T15:22:45.105449+00:00,1768836165.105449,INFO,__main__,,15:22:44Z  KXBTC15M-26JAN191030-30  tte=7m15s  spot=$92987.45  strike=$92953.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=70.78%  mkt=58.00%  EV_yes=10.78%  EV_no=-18.78%  decision=YES  kelly=3.04%  qty=0,15:22:44Z  KXBTC15M-26JAN191030-30  tte=7m15s  spot=$92987.45  strike=$92953.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=70.78%  mkt=58.00%  EV_yes=10.78%  EV_no=-18.78%  decision=YES  kelly=3.04%  qty=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
