ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,fields_json,exception
2026-01-16T01:31:23.831556+00:00,1768527083.831556,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:23Z  KXBTC15M-26JAN152045-45  tte=13m36s  spot=$95766.33  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=89.86%  mkt=89.00%  EV_yes=-0.14%  EV_no=-2.86%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95766.33,95608.4,,816,taker,,,,,,,0.8986217379570007,0.10137826204299927,0.89,0.12,signal,,,,,,01:31:23Z  KXBTC15M-26JAN152045-45  tte=13m36s  spot=$95766.33  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=89.86%  mkt=89.00%  EV_yes=-0.14%  EV_no=-2.86%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.12, ""market_p_yes"": 0.89, ""mode"": ""taker"", ""p_no"": 0.10137826204299927, ""p_yes"": 0.8986217379570007, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95766.33, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 816}",
2026-01-16T01:31:29.963885+00:00,1768527089.963885,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:31:30.014185+00:00,1768527090.014185,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:29Z  KXBTC15M-26JAN152045-45  tte=13m30s  spot=$95795.88  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=90.17%  mkt=92.00%  EV_yes=-2.83%  EV_no=-1.17%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95795.88,95608.4,,810,taker,,,,,,,0.9017220139503479,0.0982779860496521,0.92,0.1,signal,,,,,,01:31:29Z  KXBTC15M-26JAN152045-45  tte=13m30s  spot=$95795.88  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=90.17%  mkt=92.00%  EV_yes=-2.83%  EV_no=-1.17%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.1, ""market_p_yes"": 0.92, ""mode"": ""taker"", ""p_no"": 0.0982779860496521, ""p_yes"": 0.9017220139503479, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95795.88, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 810}",
2026-01-16T01:31:36.069111+00:00,1768527096.069111,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:31:36.129962+00:00,1768527096.129962,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:35Z  KXBTC15M-26JAN152045-45  tte=13m24s  spot=$95812.40  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=90.52%  mkt=93.00%  EV_yes=-3.48%  EV_no=-1.52%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95812.4,95608.4,,804,taker,,,,,,,0.9051920175552368,0.09480798244476318,0.93,0.1,signal,,,,,,01:31:35Z  KXBTC15M-26JAN152045-45  tte=13m24s  spot=$95812.40  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=90.52%  mkt=93.00%  EV_yes=-3.48%  EV_no=-1.52%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.1, ""market_p_yes"": 0.93, ""mode"": ""taker"", ""p_no"": 0.09480798244476318, ""p_yes"": 0.9051920175552368, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95812.4, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 804}",
2026-01-16T01:31:42.059246+00:00,1768527102.059246,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:31:42.108285+00:00,1768527102.108285,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:41Z  KXBTC15M-26JAN152045-45  tte=13m18s  spot=$95805.41  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=90.21%  mkt=91.00%  EV_yes=-1.79%  EV_no=-1.21%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95805.41,95608.4,,798,taker,,,,,,,0.9020887613296509,0.09791123867034912,0.91,0.1,signal,,,,,,01:31:41Z  KXBTC15M-26JAN152045-45  tte=13m18s  spot=$95805.41  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=90.21%  mkt=91.00%  EV_yes=-1.79%  EV_no=-1.21%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.1, ""market_p_yes"": 0.91, ""mode"": ""taker"", ""p_no"": 0.09791123867034912, ""p_yes"": 0.9020887613296509, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95805.41, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 798}",
2026-01-16T01:31:48.046405+00:00,1768527108.046405,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:31:48.097801+00:00,1768527108.097801,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:31:47Z  KXBTC15M-26JAN152045-45  tte=13m12s  spot=$95756.55  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=87.36%  mkt=87.00%  EV_yes=-0.64%  EV_no=-4.36%  decision=-  kelly=-  qty=-,,KXBTC15M-26JAN152045-45,,,,,,,,95756.55,95608.4,,792,taker,,,,,,,0.8735555410385132,0.12644445896148682,0.87,0.16,signal,,,,,,01:31:47Z  KXBTC15M-26JAN152045-45  tte=13m12s  spot=$95756.55  strike=$95608.40  fee_mode=taker  fee/c=-  p_up=87.36%  mkt=87.00%  EV_yes=-0.64%  EV_no=-4.36%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,"{""decision"": null, ""ev_after_fees"": null, ""fee_per_contract"": null, ""kelly_fraction"": null, ""market_p_no"": 0.16, ""market_p_yes"": 0.87, ""mode"": ""taker"", ""p_no"": 0.12644445896148682, ""p_yes"": 0.8735555410385132, ""qty"": null, ""reason"": ""signal"", ""spot_usd"": 95756.55, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 792}",
2026-01-16T01:31:54.037118+00:00,1768527114.037118,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
