ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,run_id,poll_id,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,fields_json,exception
2026-01-18T02:38:21.447697+00:00,1768703901.447697,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s run_id=%s,CSV_LOG enabled path=runs\btc15m_live_v2_20260118_023821.csv run_id=20260118_023821_2939f278,runs\btc15m_live_v2_20260118_023821.csv,20260118_023821_2939f278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:27.023316+00:00,1768703907.023316,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94843.92 kr_mid=94871.55 composite=94857.74 diff=-27.63,94843.92,94871.55,94857.74,-27.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:27.023593+00:00,1768703907.023593,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768703906073 now_ms_local=1768703906073 trades_ingested=100 vwap_count=100 vwap_60s=94852.69 vwap_age_ms=7960 cb_bid=94843.92 cb_ask=94843.93 cb_mid=94843.92,1768703906073,1768703906073,100,100,94852.69,7960,94843.92,94843.93,94843.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:28.653553+00:00,1768703908.653553,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$20.66 portfolio_value=$0.07,20.66,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:28.717638+00:00,1768703908.717638,INFO,__main__,,02:38:28Z  KXBTC15M-26JAN172145-45  tte=6m31s  spot=$94843.92  strike=$94979.93  spot_src=coinbase_mid  fee_mode=taker  fee/c=$0.0100  p_up=7.86%  mkt=2.00%  EV_yes=4.86%  EV_no=-7.86%  decision=YES  kelly=0.60%  qty=4,02:38:28Z  KXBTC15M-26JAN172145-45  tte=6m31s  spot=$94843.92  strike=$94979.93  spot_src=coinbase_mid  fee_mode=taker  fee/c=$0.0100  p_up=7.86%  mkt=2.00%  EV_yes=4.86%  EV_no=-7.86%  decision=YES  kelly=0.60%  qty=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:28.717944+00:00,1768703908.717944,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172145-45,KXBTC15M-26JAN172145-45,,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,0,,KXBTC15M-26JAN172145-45,,,YES,0.005980189083790293,4,,,94843.92499999999,94979.93,floor_strike,391,,,taker,,,,,0.07860585302114487,0.9213941469788551,0.02,0.99,,,,,,,"{""coinbase_best_ask"": 94843.93, ""coinbase_best_bid"": 94843.92, ""coinbase_mid_usd"": 94843.92499999999, ""coinbase_vwap_60s"": 94852.68871717271, ""coinbase_vwap_age_ms"": 7960, ""coinbase_vwap_count"": 100, ""spot_source"": ""coinbase_mid""}",
2026-01-18T02:38:28.718298+00:00,1768703908.718298,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN172145-45 side=YES qty=4 price=2c (risk_block total_abs_contracts=11 > max_total_abs_contracts=7),KXBTC15M-26JAN172145-45,YES,4,2,risk_block total_abs_contracts=11 > max_total_abs_contracts=7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:28.718481+00:00,1768703908.718481,INFO,tradebot.tools.order_execution,ORDER_BLOCK,ORDER_BLOCK %s side=%s reason_block=risk_limits,ORDER_BLOCK KXBTC15M-26JAN172145-45 side=YES reason_block=risk_limits,KXBTC15M-26JAN172145-45,YES,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,0,,KXBTC15M-26JAN172145-45,YES,,,,4,2,0.02,,,,,,,,,,,,,,,,risk_limits:risk_block total_abs_contracts=11 > max_total_abs_contracts=7,,,,,,,
2026-01-18T02:38:35.722184+00:00,1768703915.722184,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94840.46 kr_mid=94850.65 composite=94845.56 diff=-10.18,94840.46,94850.65,94845.56,-10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:35.722544+00:00,1768703915.722544,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768703914852 now_ms_local=1768703914852 trades_ingested=63 vwap_count=163 vwap_60s=94837.86 vwap_age_ms=1313 cb_bid=94840.46 cb_ask=94840.47 cb_mid=94840.46,1768703914852,1768703914852,63,163,94837.86,1313,94840.46,94840.47,94840.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:37.019643+00:00,1768703917.019643,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$20.66 portfolio_value=$0.07,20.66,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:37.072664+00:00,1768703917.072664,INFO,__main__,,02:38:36Z  KXBTC15M-26JAN172145-45  tte=6m23s  spot=$94837.86  strike=$94979.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0100  p_up=7.48%  mkt=2.00%  EV_yes=4.48%  EV_no=-7.48%  decision=YES  kelly=0.56%  qty=3,02:38:36Z  KXBTC15M-26JAN172145-45  tte=6m23s  spot=$94837.86  strike=$94979.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0100  p_up=7.48%  mkt=2.00%  EV_yes=4.48%  EV_no=-7.48%  decision=YES  kelly=0.56%  qty=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:37.073055+00:00,1768703917.073055,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172145-45,KXBTC15M-26JAN172145-45,,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,1,,KXBTC15M-26JAN172145-45,,,YES,0.005587468980526438,3,,,94837.86192425144,94979.93,floor_strike,383,,,taker,,,,,0.07475719600915909,0.9252428039908409,0.02,0.99,,,,,,,"{""coinbase_best_ask"": 94840.47, ""coinbase_best_bid"": 94840.46, ""coinbase_mid_usd"": 94840.465, ""coinbase_vwap_60s"": 94837.86192425144, ""coinbase_vwap_age_ms"": 1313, ""coinbase_vwap_count"": 163, ""spot_source"": ""vwap_60s""}",
2026-01-18T02:38:37.073362+00:00,1768703917.073362,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN172145-45 side=YES qty=3 price=2c (risk_block total_abs_contracts=10 > max_total_abs_contracts=7),KXBTC15M-26JAN172145-45,YES,3,2,risk_block total_abs_contracts=10 > max_total_abs_contracts=7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:37.073567+00:00,1768703917.073567,INFO,tradebot.tools.order_execution,ORDER_BLOCK,ORDER_BLOCK %s side=%s reason_block=risk_limits,ORDER_BLOCK KXBTC15M-26JAN172145-45 side=YES reason_block=risk_limits,KXBTC15M-26JAN172145-45,YES,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,1,,KXBTC15M-26JAN172145-45,YES,,,,3,2,0.02,,,,,,,,,,,,,,,,risk_limits:risk_block total_abs_contracts=10 > max_total_abs_contracts=7,,,,,,,
2026-01-18T02:38:44.634178+00:00,1768703924.634178,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94840.46 kr_mid=94850.65 composite=94845.56 diff=-10.18,94840.46,94850.65,94845.56,-10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:44.634416+00:00,1768703924.634416,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768703923728 now_ms_local=1768703923728 trades_ingested=6 vwap_count=169 vwap_60s=94837.87 vwap_age_ms=841 cb_bid=94840.46 cb_ask=94840.47 cb_mid=94840.46,1768703923728,1768703923728,6,169,94837.87,841,94840.46,94840.47,94840.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:45.791575+00:00,1768703925.791575,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$20.66 portfolio_value=$0.14,20.66,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:45.849508+00:00,1768703925.849508,INFO,__main__,,02:38:45Z  KXBTC15M-26JAN172145-45  tte=6m14s  spot=$94837.87  strike=$94979.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0100  p_up=7.48%  mkt=2.00%  EV_yes=4.48%  EV_no=-7.48%  decision=YES  kelly=0.56%  qty=3,02:38:45Z  KXBTC15M-26JAN172145-45  tte=6m14s  spot=$94837.87  strike=$94979.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0100  p_up=7.48%  mkt=2.00%  EV_yes=4.48%  EV_no=-7.48%  decision=YES  kelly=0.56%  qty=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:45.849861+00:00,1768703925.849861,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172145-45,KXBTC15M-26JAN172145-45,,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,2,,KXBTC15M-26JAN172145-45,,,YES,0.005587468980526438,3,,,94837.86573087251,94979.93,floor_strike,374,,,taker,,,,,0.07475719600915909,0.9252428039908409,0.02,0.99,,,,,,,"{""coinbase_best_ask"": 94840.47, ""coinbase_best_bid"": 94840.46, ""coinbase_mid_usd"": 94840.465, ""coinbase_vwap_60s"": 94837.86573087251, ""coinbase_vwap_age_ms"": 841, ""coinbase_vwap_count"": 169, ""spot_source"": ""vwap_60s""}",
2026-01-18T02:38:45.850113+00:00,1768703925.850113,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN172145-45 side=YES qty=3 price=2c (risk_block total_abs_contracts=10 > max_total_abs_contracts=7),KXBTC15M-26JAN172145-45,YES,3,2,risk_block total_abs_contracts=10 > max_total_abs_contracts=7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:45.850290+00:00,1768703925.850290,INFO,tradebot.tools.order_execution,ORDER_BLOCK,ORDER_BLOCK %s side=%s reason_block=risk_limits,ORDER_BLOCK KXBTC15M-26JAN172145-45 side=YES reason_block=risk_limits,KXBTC15M-26JAN172145-45,YES,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,2,,KXBTC15M-26JAN172145-45,YES,,,,3,2,0.02,,,,,,,,,,,,,,,,risk_limits:risk_block total_abs_contracts=10 > max_total_abs_contracts=7,,,,,,,
2026-01-18T02:38:52.534315+00:00,1768703932.534315,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94840.46 kr_mid=94850.65 composite=94845.56 diff=-10.18,94840.46,94850.65,94845.56,-10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:52.534562+00:00,1768703932.534562,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768703931759 now_ms_local=1768703931759 trades_ingested=9 vwap_count=155 vwap_60s=94837.78 vwap_age_ms=747 cb_bid=94840.46 cb_ask=94840.47 cb_mid=94840.46,1768703931759,1768703931759,9,155,94837.78,747,94840.46,94840.47,94840.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:53.548682+00:00,1768703933.548682,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$20.66 portfolio_value=$0.07,20.66,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:53.609710+00:00,1768703933.609710,INFO,__main__,,02:38:53Z  KXBTC15M-26JAN172145-45  tte=6m06s  spot=$94837.78  strike=$94979.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0100  p_up=7.48%  mkt=2.00%  EV_yes=4.48%  EV_no=-7.48%  decision=YES  kelly=0.56%  qty=3,02:38:53Z  KXBTC15M-26JAN172145-45  tte=6m06s  spot=$94837.78  strike=$94979.93  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0100  p_up=7.48%  mkt=2.00%  EV_yes=4.48%  EV_no=-7.48%  decision=YES  kelly=0.56%  qty=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:53.609983+00:00,1768703933.609983,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172145-45,KXBTC15M-26JAN172145-45,,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,3,,KXBTC15M-26JAN172145-45,,,YES,0.005587468980526438,3,,,94837.77865119328,94979.93,floor_strike,366,,,taker,,,,,0.07475719600915909,0.9252428039908409,0.02,0.99,,,,,,,"{""coinbase_best_ask"": 94840.47, ""coinbase_best_bid"": 94840.46, ""coinbase_mid_usd"": 94840.465, ""coinbase_vwap_60s"": 94837.77865119328, ""coinbase_vwap_age_ms"": 747, ""coinbase_vwap_count"": 155, ""spot_source"": ""vwap_60s""}",
2026-01-18T02:38:53.610232+00:00,1768703933.610232,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN172145-45 side=YES qty=3 price=2c (risk_block total_abs_contracts=10 > max_total_abs_contracts=7),KXBTC15M-26JAN172145-45,YES,3,2,risk_block total_abs_contracts=10 > max_total_abs_contracts=7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:38:53.610433+00:00,1768703933.610433,INFO,tradebot.tools.order_execution,ORDER_BLOCK,ORDER_BLOCK %s side=%s reason_block=risk_limits,ORDER_BLOCK KXBTC15M-26JAN172145-45 side=YES reason_block=risk_limits,KXBTC15M-26JAN172145-45,YES,,,,,,,,,,,,,,,,,,,20260118_023821_2939f278,3,,KXBTC15M-26JAN172145-45,YES,,,,3,2,0.02,,,,,,,,,,,,,,,,risk_limits:risk_block total_abs_contracts=10 > max_total_abs_contracts=7,,,,,,,
2026-01-18T02:39:02.616391+00:00,1768703942.616391,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94840.40 kr_mid=94850.65 composite=94845.53 diff=-10.24,94840.40,94850.65,94845.53,-10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:39:02.616755+00:00,1768703942.616755,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768703941645 now_ms_local=1768703941645 trades_ingested=30 vwap_count=160 vwap_60s=94837.64 vwap_age_ms=2927 cb_bid=94840.40 cb_ask=94840.41 cb_mid=94840.40,1768703941645,1768703941645,30,160,94837.64,2927,94840.40,94840.41,94840.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:39:03.770168+00:00,1768703943.770168,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$20.66 portfolio_value=$0.07,20.66,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T02:39:03.828706+00:00,1768703943.828706,INFO,__main__,,02:39:03Z  KXBTC15M-26JAN172145-45  tte=5m56s  spot=$94840.40  strike=$94979.93  spot_src=coinbase_mid  fee_mode=taker  fee/c=$0.0100  p_up=5.36%  mkt=2.00%  EV_yes=2.36%  EV_no=-5.36%  decision=YES  kelly=0.34%  qty=2,02:39:03Z  KXBTC15M-26JAN172145-45  tte=5m56s  spot=$94840.40  strike=$94979.93  spot_src=coinbase_mid  fee_mode=taker  fee/c=$0.0100  p_up=5.36%  mkt=2.00%  EV_yes=2.36%  EV_no=-5.36%  decision=YES  kelly=0.34%  qty=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
