ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,run_id,poll_id,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,fields_json,exception
2026-01-19T04:21:07.353535+00:00,1768796467.353535,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s run_id=%s,CSV_LOG enabled path=runs\btc15m_live_v2_20260119_042107.csv run_id=20260119_042107_76f9fd23,runs\btc15m_live_v2_20260119_042107.csv,20260119_042107_76f9fd23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:10.228786+00:00,1768796470.228786,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=92544.12 kr_mid=92550.05 composite=92547.09 diff=-5.93,92544.12,92550.05,92547.09,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:10.229193+00:00,1768796470.229193,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768796469359 now_ms_local=1768796469359 trades_ingested=100 vwap_count=100 vwap_60s=92553.39 vwap_age_ms=4896 cb_bid=92544.12 cb_ask=92544.13 cb_mid=92544.12,1768796469359,1768796469359,100,100,92553.39,4896,92544.12,92544.13,92544.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:11.676398+00:00,1768796471.676398,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$0.01 portfolio_value=$0.00,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:11.780951+00:00,1768796471.780951,INFO,__main__,,04:21:11Z  KXBTC15M-26JAN182330-30  tte=8m48s  spot=$92544.12  strike=$92582.53  spot_src=coinbase_mid  fee_mode=taker  fee/c=-  p_up=30.30%  mkt=32.00%  EV_yes=-3.70%  EV_no=-1.30%  decision=-  kelly=-  qty=-,04:21:11Z  KXBTC15M-26JAN182330-30  tte=8m48s  spot=$92544.12  strike=$92582.53  spot_src=coinbase_mid  fee_mode=taker  fee/c=-  p_up=30.30%  mkt=32.00%  EV_yes=-3.70%  EV_no=-1.30%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:11.781353+00:00,1768796471.781353,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN182330-30,KXBTC15M-26JAN182330-30,,,,,,,,,,,,,,,,,,,,20260119_042107_76f9fd23,0,,KXBTC15M-26JAN182330-30,,,,,,,,92544.125,92582.53,floor_strike,528,,,taker,,,,,0.3029586970806122,0.6970413029193878,0.32,0.69,,,,,,,"{""coinbase_best_ask"": 92544.13, ""coinbase_best_bid"": 92544.12, ""coinbase_mid_usd"": 92544.125, ""coinbase_vwap_60s"": 92553.39334435482, ""coinbase_vwap_age_ms"": 4896, ""coinbase_vwap_count"": 100, ""spot_source"": ""coinbase_mid""}",
2026-01-19T04:21:21.039008+00:00,1768796481.039008,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=92551.99 kr_mid=92550.05 composite=92551.02 diff=+1.94,92551.99,92550.05,92551.02,+1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:21.039321+00:00,1768796481.039321,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768796479879 now_ms_local=1768796479879 trades_ingested=50 vwap_count=150 vwap_60s=92551.64 vwap_age_ms=2430 cb_bid=92551.99 cb_ask=92552.00 cb_mid=92551.99,1768796479879,1768796479879,50,150,92551.64,2430,92551.99,92552.00,92551.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:22.275348+00:00,1768796482.275348,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$0.01 portfolio_value=$0.00,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19T04:21:22.330529+00:00,1768796482.330529,INFO,__main__,,04:21:21Z  KXBTC15M-26JAN182330-30  tte=8m38s  spot=$92551.99  strike=$92582.53  spot_src=coinbase_mid  fee_mode=taker  fee/c=-  p_up=32.69%  mkt=34.00%  EV_yes=-3.31%  EV_no=-1.69%  decision=-  kelly=-  qty=-,04:21:21Z  KXBTC15M-26JAN182330-30  tte=8m38s  spot=$92551.99  strike=$92582.53  spot_src=coinbase_mid  fee_mode=taker  fee/c=-  p_up=32.69%  mkt=34.00%  EV_yes=-3.31%  EV_no=-1.69%  decision=-  kelly=-  qty=-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
