ts_utc_iso,ts_epoch,level,logger,message,exception
2026-01-12T22:03:29.458010+00:00,1768255409.458010,INFO,__main__,CSV_LOG enabled path=runs\btc15m_live_20260112_220329.csv,
2026-01-12T22:03:32.268074+00:00,1768255412.268074,INFO,__main__,BALANCE available=$55.21 portfolio_value=$0.00,
2026-01-12T22:03:32.319433+00:00,1768255412.319433,INFO,__main__,22:03:31Z  KXBTC15M-26JAN121715-15  tte=11m28s  spot=$91173.99  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=88.14%  mkt=89.00%  EV_yes=-1.86%  EV_no=-9.14%  decision=-  kelly=-  qty=-,
2026-01-12T22:03:38.202784+00:00,1768255418.202784,INFO,__main__,BALANCE available=$55.21 portfolio_value=$0.00,
2026-01-12T22:03:38.254856+00:00,1768255418.254856,INFO,__main__,22:03:37Z  KXBTC15M-26JAN121715-15  tte=11m22s  spot=$91156.17  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=85.12%  mkt=89.00%  EV_yes=-4.88%  EV_no=-6.12%  decision=-  kelly=-  qty=-,
2026-01-12T22:03:44.157021+00:00,1768255424.157021,INFO,__main__,BALANCE available=$55.21 portfolio_value=$0.00,
2026-01-12T22:03:44.205870+00:00,1768255424.205870,INFO,__main__,22:03:43Z  KXBTC15M-26JAN121715-15  tte=11m16s  spot=$91156.17  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=85.12%  mkt=89.00%  EV_yes=-4.88%  EV_no=-0.12%  decision=-  kelly=-  qty=-,
2026-01-12T22:03:49.990080+00:00,1768255429.990080,INFO,__main__,BALANCE available=$55.21 portfolio_value=$0.00,
2026-01-12T22:03:50.041589+00:00,1768255430.041589,INFO,__main__,22:03:49Z  KXBTC15M-26JAN121715-15  tte=11m10s  spot=$91156.17  strike=$90961.00  fee_mode=taker  fee/c=$0.0100  p_up=85.12%  mkt=89.00%  EV_yes=-4.88%  EV_no=0.88%  decision=NO  kelly=0.22%  qty=0,
2026-01-12T22:03:55.840131+00:00,1768255435.840131,INFO,__main__,BALANCE available=$55.21 portfolio_value=$0.00,
2026-01-12T22:03:55.893868+00:00,1768255435.893868,INFO,__main__,22:03:55Z  KXBTC15M-26JAN121715-15  tte=11m04s  spot=$91154.80  strike=$90961.00  fee_mode=taker  fee/c=$0.0100  p_up=82.92%  mkt=88.00%  EV_yes=-6.08%  EV_no=3.08%  decision=NO  kelly=0.47%  qty=1,
2026-01-12T22:03:55.894150+00:00,1768255435.894150,INFO,tradebot.tools.order_execution,ORDER KXBTC15M-26JAN121715-15 NO qty=1 @ 13c ($0.13) mode=taker_ioc fee_assumption=taker spot=$91154.80 strike=$90961.00 EV_after_fees=3.080% exp_profit=$0.03 exp_fee_total=$0.01 exp_fee_per_contract=$0.0100 exp_cost=$0.14 tte=664s,
2026-01-12T22:03:55.948753+00:00,1768255435.948753,INFO,tradebot.tools.order_execution,ORDER_ACK KXBTC15M-26JAN121715-15 side=NO order_id=0b4e0932-1658-44e5-b940-ace3537392d8,
2026-01-12T22:04:02.593426+00:00,1768255442.593426,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.30,
2026-01-12T22:04:02.650862+00:00,1768255442.650862,INFO,__main__,22:04:01Z  KXBTC15M-26JAN121715-15  tte=10m58s  spot=$91153.90  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=84.16%  mkt=92.00%  EV_yes=-8.84%  EV_no=-17.16%  decision=-  kelly=-  qty=-,
2026-01-12T22:04:08.584984+00:00,1768255448.584984,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.30,
2026-01-12T22:04:08.644326+00:00,1768255448.644326,INFO,__main__,22:04:08Z  KXBTC15M-26JAN121715-15  tte=10m51s  spot=$91148.56  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=84.32%  mkt=91.00%  EV_yes=-7.68%  EV_no=-16.32%  decision=-  kelly=-  qty=-,
2026-01-12T22:04:14.501586+00:00,1768255454.501586,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.30,
2026-01-12T22:04:14.562914+00:00,1768255454.562914,INFO,__main__,22:04:14Z  KXBTC15M-26JAN121715-15  tte=10m45s  spot=$91148.56  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=84.32%  mkt=91.00%  EV_yes=-7.68%  EV_no=-17.32%  decision=-  kelly=-  qty=-,
2026-01-12T22:04:20.465167+00:00,1768255460.465167,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.11,
2026-01-12T22:04:20.519011+00:00,1768255460.519011,INFO,__main__,22:04:19Z  KXBTC15M-26JAN121715-15  tte=10m40s  spot=$91145.99  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=84.32%  mkt=91.00%  EV_yes=-7.68%  EV_no=-16.32%  decision=-  kelly=-  qty=-,
2026-01-12T22:04:26.485285+00:00,1768255466.485285,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.29,
2026-01-12T22:04:26.545475+00:00,1768255466.545475,INFO,__main__,22:04:26Z  KXBTC15M-26JAN121715-15  tte=10m33s  spot=$91134.37  strike=$90961.00  fee_mode=taker  fee/c=$0.0200  p_up=83.59%  mkt=80.00%  EV_yes=1.59%  EV_no=-16.59%  decision=YES  kelly=1.80%  qty=1,
2026-01-12T22:04:26.545755+00:00,1768255466.545755,INFO,tradebot.tools.order_execution,FLATTEN KXBTC15M-26JAN121715-15 sell_NO qty=1 @ 20c spot=$91134.37 strike=$90961.00 tte=633s,
2026-01-12T22:04:26.654172+00:00,1768255466.654172,WARNING,tradebot.tools.order_execution,FLATTEN_INCOMPLETE KXBTC15M-26JAN121715-15 pos=-1; skipping flip,
2026-01-12T22:04:32.585396+00:00,1768255472.585396,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.24,
2026-01-12T22:04:32.639999+00:00,1768255472.639999,INFO,__main__,22:04:32Z  KXBTC15M-26JAN121715-15  tte=10m27s  spot=$91144.00  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=84.32%  mkt=92.00%  EV_yes=-8.68%  EV_no=-17.32%  decision=-  kelly=-  qty=-,
2026-01-12T22:04:38.491715+00:00,1768255478.491715,INFO,__main__,BALANCE available=$55.07 portfolio_value=$0.29,
2026-01-12T22:04:38.551996+00:00,1768255478.551996,INFO,__main__,22:04:38Z  KXBTC15M-26JAN121715-15  tte=10m21s  spot=$91150.00  strike=$90961.00  fee_mode=taker  fee/c=-  p_up=84.32%  mkt=92.00%  EV_yes=-8.68%  EV_no=-17.32%  decision=-  kelly=-  qty=-,
