ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,fields_json,exception
2026-01-16T01:38:26.502681+00:00,1768527506.502681,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=1 price=22c (risk_block total_abs_contracts=6 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,1,22,risk_block total_abs_contracts=6 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
2026-01-16T01:38:32.423557+00:00,1768527512.423557,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$1.00,,,,,,,,,,,,,,,,,,16.07,1.0,,,,,,balance,,,,,,16.07,1.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 1.0, ""reason"": ""balance""}",
2026-01-16T01:38:32.475964+00:00,1768527512.475964,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:38:31Z  KXBTC15M-26JAN152045-45  tte=6m28s  spot=$95664.02  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=63.15%  mkt=87.00%  EV_yes=-24.85%  EV_no=20.85%  decision=NO  kelly=2.57%  qty=2,,KXBTC15M-26JAN152045-45,,,NO,0.025700313904706173,2,,,95664.02,95608.4,,388,taker,,,0.01,,,0.20845266819000244,0.6315473318099976,0.36845266819000244,0.87,0.15,signal,,,,,,01:38:31Z  KXBTC15M-26JAN152045-45  tte=6m28s  spot=$95664.02  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=63.15%  mkt=87.00%  EV_yes=-24.85%  EV_no=20.85%  decision=NO  kelly=2.57%  qty=2,,,,,,,,,,,,,,,,,,,,"{""decision"": ""NO"", ""ev_after_fees"": 0.20845266819000244, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.025700313904706173, ""market_p_no"": 0.15, ""market_p_yes"": 0.87, ""mode"": ""taker"", ""p_no"": 0.36845266819000244, ""p_yes"": 0.6315473318099976, ""qty"": 2, ""reason"": ""signal"", ""spot_usd"": 95664.02, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 388}",
2026-01-16T01:38:32.476307+00:00,1768527512.476307,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=2 price=15c (risk_block total_abs_contracts=7 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,2,15,risk_block total_abs_contracts=7 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
2026-01-16T01:38:38.553647+00:00,1768527518.553647,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$1.00,,,,,,,,,,,,,,,,,,16.07,1.0,,,,,,balance,,,,,,16.07,1.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 1.0, ""reason"": ""balance""}",
2026-01-16T01:38:38.613194+00:00,1768527518.613194,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:38:38Z  KXBTC15M-26JAN152045-45  tte=6m21s  spot=$95669.55  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=85.00%  EV_yes=-20.15%  EV_no=16.15%  decision=NO  kelly=2.07%  qty=1,,KXBTC15M-26JAN152045-45,,,NO,0.020657542814691385,1,,,95669.55,95608.4,,381,taker,,,0.01,,,0.16145760536193846,0.6585423946380615,0.3414576053619385,0.85,0.17,signal,,,,,,01:38:38Z  KXBTC15M-26JAN152045-45  tte=6m21s  spot=$95669.55  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=85.00%  EV_yes=-20.15%  EV_no=16.15%  decision=NO  kelly=2.07%  qty=1,,,,,,,,,,,,,,,,,,,,"{""decision"": ""NO"", ""ev_after_fees"": 0.16145760536193846, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.020657542814691385, ""market_p_no"": 0.17, ""market_p_yes"": 0.85, ""mode"": ""taker"", ""p_no"": 0.3414576053619385, ""p_yes"": 0.6585423946380615, ""qty"": 1, ""reason"": ""signal"", ""spot_usd"": 95669.55, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 381}",
2026-01-16T01:38:38.613575+00:00,1768527518.613575,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=1 price=17c (risk_block total_abs_contracts=6 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,1,17,risk_block total_abs_contracts=6 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
2026-01-16T01:38:44.652800+00:00,1768527524.652800,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.07 portfolio_value=$1.05,,,,,,,,,,,,,,,,,,16.07,1.05,,,,,,balance,,,,,,16.07,1.05,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.07, ""portfolio_value_usd"": 1.05, ""reason"": ""balance""}",
2026-01-16T01:38:44.707677+00:00,1768527524.707677,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:38:44Z  KXBTC15M-26JAN152045-45  tte=6m15s  spot=$95669.55  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=86.00%  EV_yes=-21.15%  EV_no=16.15%  decision=NO  kelly=2.07%  qty=1,,KXBTC15M-26JAN152045-45,,,NO,0.020657542814691385,1,,,95669.55,95608.4,,375,taker,,,0.01,,,0.16145760536193846,0.6585423946380615,0.3414576053619385,0.86,0.17,signal,,,,,,01:38:44Z  KXBTC15M-26JAN152045-45  tte=6m15s  spot=$95669.55  strike=$95608.40  fee_mode=taker  fee/c=$0.0100  p_up=65.85%  mkt=86.00%  EV_yes=-21.15%  EV_no=16.15%  decision=NO  kelly=2.07%  qty=1,,,,,,,,,,,,,,,,,,,,"{""decision"": ""NO"", ""ev_after_fees"": 0.16145760536193846, ""fee_per_contract"": 0.01, ""kelly_fraction"": 0.020657542814691385, ""market_p_no"": 0.17, ""market_p_yes"": 0.86, ""mode"": ""taker"", ""p_no"": 0.3414576053619385, ""p_yes"": 0.6585423946380615, ""qty"": 1, ""reason"": ""signal"", ""spot_usd"": 95669.55, ""strike_usd"": 95608.4, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 375}",
2026-01-16T01:38:44.708132+00:00,1768527524.708132,WARNING,tradebot.tools.order_execution,RISK_BLOCK,RISK_BLOCK %s side=%s qty=%d price=%dc (%s),RISK_BLOCK KXBTC15M-26JAN152045-45 side=NO qty=1 price=17c (risk_block total_abs_contracts=6 > max_total_abs_contracts=5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXBTC15M-26JAN152045-45,NO,1,17,risk_block total_abs_contracts=6 > max_total_abs_contracts=5,,,,,,,,,,,,,,,,,
