ticker,event_ticker,market_result,yes_count,yes_total_cost,no_count,no_total_cost,revenue,settled_time,fee_cost,value
KXBTC15M-26JAN160445-45,KXBTC15M-26JAN160445,no,0,0,4,286,400,2026-01-16T09:46:43.560682Z,0.0700,0
KXBTC15M-26JAN160430-30,KXBTC15M-26JAN160430,no,4,53,9,832,500,2026-01-16T09:31:53.556672Z,0.1200,0
KXBTC15M-26JAN160415-15,KXBTC15M-26JAN160415,yes,8,682,3,102,500,2026-01-16T09:16:43.555807Z,0.1400,100
KXBTC15M-26JAN160400-00,KXBTC15M-26JAN160400,no,0,0,5,324,500,2026-01-16T09:02:03.558906Z,0.1000,0
KXBTC15M-26JAN160345-45,KXBTC15M-26JAN160345,no,0,0,4,260,400,2026-01-16T08:46:43.556384Z,0.0800,0
KXBTC15M-26JAN160330-30,KXBTC15M-26JAN160330,yes,5,475,5,189,0,2026-01-16T08:31:53.559473Z,0.1200,100
KXBTC15M-26JAN160315-15,KXBTC15M-26JAN160315,yes,8,736,5,211,300,2026-01-16T08:17:33.558894Z,0.1600,100
KXBTC15M-26JAN160300-00,KXBTC15M-26JAN160300,yes,0,0,5,127,0,2026-01-16T08:16:45.507066Z,0.1000,100
KXBTC15M-26JAN160245-45,KXBTC15M-26JAN160245,no,0,0,1,72,100,2026-01-16T07:46:43.55797Z,0.0200,0
KXBTC15M-26JAN160230-30,KXBTC15M-26JAN160230,no,0,0,5,349,500,2026-01-16T07:31:53.603819Z,0.1000,0
KXBTC15M-26JAN160215-15,KXBTC15M-26JAN160215,no,5,294,10,760,500,2026-01-16T07:16:43.562536Z,0.2400,0
KXBTC15M-26JAN160200-00,KXBTC15M-26JAN160200,yes,9,834,5,229,400,2026-01-16T07:01:53.559242Z,0.1700,100
KXBTC15M-26JAN160145-45,KXBTC15M-26JAN160145,yes,0,0,5,294,0,2026-01-16T06:46:53.559485Z,0.1000,100
KXBTC15M-26JAN160130-30,KXBTC15M-26JAN160130,yes,3,294,5,186,0,2026-01-16T06:32:03.560001Z,0.1100,100
KXBTC15M-26JAN160115-15,KXBTC15M-26JAN160115,no,5,295,10,602,500,2026-01-16T06:16:43.5555Z,0.2700,0
KXBTC15M-26JAN160100-00,KXBTC15M-26JAN160100,yes,5,282,0,0,500,2026-01-16T06:01:53.558382Z,0.1000,100
KXBTC15M-26JAN160045-45,KXBTC15M-26JAN160045,yes,3,178,0,0,300,2026-01-16T05:46:43.556762Z,0.0600,100
KXBTC15M-26JAN160030-30,KXBTC15M-26JAN160030,no,4,158,9,598,500,2026-01-16T05:31:53.555361Z,0.2500,0
KXBTC15M-26JAN160015-15,KXBTC15M-26JAN160015,yes,1,81,0,0,100,2026-01-16T05:16:43.55446Z,0.0200,100
KXBTC15M-26JAN160000-00,KXBTC15M-26JAN160000,no,0,0,2,127,200,2026-01-16T05:02:03.610532Z,0.0400,0
KXBTC15M-26JAN152345-45,KXBTC15M-26JAN152345,no,5,77,0,0,0,2026-01-16T04:47:33.552915Z,0.0500,0
