ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,run_id,poll_id,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,fields_json,exception
2026-01-18T01:18:43.390723+00:00,1768699123.390723,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s run_id=%s,CSV_LOG enabled path=runs\btc15m_live_v2_20260118_011843.csv run_id=20260118_011843_f0dcf563,runs\btc15m_live_v2_20260118_011843.csv,20260118_011843_f0dcf563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:47.643853+00:00,1768699127.643853,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94941.96 kr_mid=94909.65 composite=94925.81 diff=+32.32,94941.96,94909.65,94925.81,+32.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:47.644083+00:00,1768699127.644083,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768699126462 now_ms_local=1768699126462 trades_ingested=100 vwap_count=100 vwap_60s=94938.85 vwap_age_ms=693 cb_bid=94941.96 cb_ask=94941.97 cb_mid=94941.96,1768699126462,1768699126462,100,100,94938.85,693,94941.96,94941.97,94941.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:49.103675+00:00,1768699129.103675,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$21.64 portfolio_value=$0.00,21.64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:49.158923+00:00,1768699129.158923,INFO,__main__,,01:18:48Z  KXBTC15M-26JAN172030-30  tte=11m11s  spot=$94938.85  strike=$94902.06  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=58.97%  mkt=80.00%  EV_yes=-23.03%  EV_no=10.03%  decision=NO  kelly=1.69%  qty=1,01:18:48Z  KXBTC15M-26JAN172030-30  tte=11m11s  spot=$94938.85  strike=$94902.06  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=58.97%  mkt=80.00%  EV_yes=-23.03%  EV_no=10.03%  decision=NO  kelly=1.69%  qty=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:49.159206+00:00,1768699129.159206,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172030-30,KXBTC15M-26JAN172030-30,,,,,,,,,,,,,,,,,,,,20260118_011843_f0dcf563,0,,KXBTC15M-26JAN172030-30,,,NO,0.016939408006802416,1,,,94938.8520410375,94902.06,floor_strike,671,,,taker,,,,,0.5897302031517029,0.4102697968482971,0.8,0.29,,,,,,,"{""coinbase_best_ask"": 94941.97, ""coinbase_best_bid"": 94941.96, ""coinbase_mid_usd"": 94941.965, ""coinbase_vwap_60s"": 94938.8520410375, ""coinbase_vwap_age_ms"": 693, ""coinbase_vwap_count"": 100, ""spot_source"": ""vwap_60s""}",
2026-01-18T01:18:49.159589+00:00,1768699129.159589,INFO,tradebot.tools.order_execution,ORDER,ORDER %s %s qty=%d @ %dc ($%.2f) mode=%s fee_assumption=%s spot=%s strike=%s EV_after_fees=%.3f%% exp_profit=$%.2f exp_fee_total=$%.2f exp_fee_per_contract=$%.4f exp_cost=$%.2f tte=%ss,ORDER KXBTC15M-26JAN172030-30 NO qty=1 @ 29c ($0.29) mode=taker_ioc fee_assumption=taker spot=$94941.97 strike=$94902.06 EV_after_fees=10.027% exp_profit=$0.10 exp_fee_total=$0.02 exp_fee_per_contract=$0.0200 exp_cost=$0.31 tte=671s,KXBTC15M-26JAN172030-30,NO,1,29,0.29,taker_ioc,taker,$94941.97,$94902.06,10.026979684829714,0.10026979684829714,0.02,0.02,0.31,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:49.159888+00:00,1768699129.159888,INFO,tradebot.tools.order_execution,ORDER_ATTEMPT,ORDER_ATTEMPT %s side=%s qty=%d @ %dc mode=%s,ORDER_ATTEMPT KXBTC15M-26JAN172030-30 side=NO qty=1 @ 29c mode=taker_ioc,KXBTC15M-26JAN172030-30,NO,1,29,taker_ioc,,,,,,,,,,,,,,,,20260118_011843_f0dcf563,0,,KXBTC15M-26JAN172030-30,NO,buy,,,1,29,0.29,94941.97,94902.06,floor_strike,671,taker_ioc,immediate_or_cancel,taker,0.02,,,0.10026979684829714,,,,,,,,,,,,
2026-01-18T01:18:49.262708+00:00,1768699129.262708,INFO,tradebot.tools.order_execution,ORDER_ACK,ORDER_ACK %s side=%s order_id=%s,ORDER_ACK KXBTC15M-26JAN172030-30 side=NO order_id=ef337c83-86ef-4a4b-b218-0700c646ec9e,KXBTC15M-26JAN172030-30,NO,ef337c83-86ef-4a4b-b218-0700c646ec9e,,,,,,,,,,,,,,,,,,20260118_011843_f0dcf563,0,,KXBTC15M-26JAN172030-30,NO,buy,,,1,29,0.29,,,,,taker_ioc,immediate_or_cancel,,,,,,,,,,,ef337c83-86ef-4a4b-b218-0700c646ec9e,,,,,,
2026-01-18T01:18:56.773645+00:00,1768699136.773645,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94931.99 kr_mid=94926.95 composite=94929.47 diff=+5.04,94931.99,94926.95,94929.47,+5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:56.773864+00:00,1768699136.773864,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768699135930 now_ms_local=1768699135930 trades_ingested=39 vwap_count=139 vwap_60s=94939.21 vwap_age_ms=494 cb_bid=94931.99 cb_ask=94932.00 cb_mid=94931.99,1768699135930,1768699135930,39,139,94939.21,494,94931.99,94932.00,94931.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:57.878900+00:00,1768699137.878900,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$21.33 portfolio_value=$0.29,21.33,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:57.935725+00:00,1768699137.935725,INFO,__main__,,01:18:57Z  KXBTC15M-26JAN172030-30  tte=11m02s  spot=$94939.21  strike=$94902.06  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=59.36%  mkt=79.00%  EV_yes=-21.64%  EV_no=8.64%  decision=NO  kelly=1.52%  qty=1,01:18:57Z  KXBTC15M-26JAN172030-30  tte=11m02s  spot=$94939.21  strike=$94902.06  spot_src=vwap_60s  fee_mode=taker  fee/c=$0.0200  p_up=59.36%  mkt=79.00%  EV_yes=-21.64%  EV_no=8.64%  decision=NO  kelly=1.52%  qty=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:18:57.936101+00:00,1768699137.936101,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172030-30,KXBTC15M-26JAN172030-30,,,,,,,,,,,,,,,,,,,,20260118_011843_f0dcf563,1,,KXBTC15M-26JAN172030-30,,,NO,0.015199416024344312,1,,,94939.21295118722,94902.06,floor_strike,662,,,taker,,,,,0.5936040878295898,0.40639591217041016,0.79,0.3,,,,,,,"{""coinbase_best_ask"": 94932.0, ""coinbase_best_bid"": 94931.99, ""coinbase_mid_usd"": 94931.995, ""coinbase_vwap_60s"": 94939.21295118722, ""coinbase_vwap_age_ms"": 494, ""coinbase_vwap_count"": 139, ""spot_source"": ""vwap_60s""}",
