ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,run_id,poll_id,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,fields_json,exception
2026-01-18T01:12:26.586938+00:00,1768698746.586938,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s run_id=%s,CSV_LOG enabled path=runs\btc15m_live_v2_20260118_011226.csv run_id=20260118_011226_2ab9ead6,runs\btc15m_live_v2_20260118_011226.csv,20260118_011226_2ab9ead6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:31.219430+00:00,1768698751.219430,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94844.01 kr_mid=94832.15 composite=94838.08 diff=+11.87,94844.01,94832.15,94838.08,+11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:31.219715+00:00,1768698751.219715,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768698750403 now_ms_local=1768698750403 trades_ingested=100 vwap_count=100 vwap_60s=94836.26 vwap_age_ms=1531 cb_bid=94844.01 cb_ask=94844.02 cb_mid=94844.01,1768698750403,1768698750403,100,100,94836.26,1531,94844.01,94844.02,94844.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:31.995928+00:00,1768698751.995928,INFO,tradebot.tools.kalshi_market_poll,MARKET_STATUSES,MARKET_STATUSES series=%s total=%d today_prefix=%s today_count=%d unique_statuses=%s,"MARKET_STATUSES series=KXBTC15M total=200 today_prefix=KXBTC15M-26JAN17 today_count=96 unique_statuses={'initialized', 'active', 'finalized'}",KXBTC15M,200,KXBTC15M-26JAN17,96,"{'initialized', 'active', 'finalized'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:31.996181+00:00,1768698751.996181,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=0 ticker=KXBTC15M-26JAN172345-45 status=initialized cutoff=2026-01-18T04:45:00+00:00 field=close_time close_time=2026-01-18T04:45:00Z exp_time=2026-01-25T04:45:00Z,0,KXBTC15M-26JAN172345-45,initialized,2026-01-18T04:45:00+00:00,close_time,2026-01-18T04:45:00Z,2026-01-25T04:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:31.996361+00:00,1768698751.996361,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=1 ticker=KXBTC15M-26JAN172330-30 status=initialized cutoff=2026-01-18T04:30:00+00:00 field=close_time close_time=2026-01-18T04:30:00Z exp_time=2026-01-25T04:30:00Z,1,KXBTC15M-26JAN172330-30,initialized,2026-01-18T04:30:00+00:00,close_time,2026-01-18T04:30:00Z,2026-01-25T04:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:31.996529+00:00,1768698751.996529,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=2 ticker=KXBTC15M-26JAN172315-15 status=initialized cutoff=2026-01-18T04:15:00+00:00 field=close_time close_time=2026-01-18T04:15:00Z exp_time=2026-01-25T04:15:00Z,2,KXBTC15M-26JAN172315-15,initialized,2026-01-18T04:15:00+00:00,close_time,2026-01-18T04:15:00Z,2026-01-25T04:15:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:32.576441+00:00,1768698752.576441,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$20.64 portfolio_value=$0.99,20.64,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:32.676902+00:00,1768698752.676902,INFO,__main__,,01:12:31Z  KXBTC15M-26JAN172015-15  tte=2m28s  spot=$94836.26  strike=$95069.63  spot_src=vwap_60s  fee_mode=taker  fee/c=-  p_up=0.27%  mkt=1.00%  EV_yes=-1.73%  EV_no=0.73%  decision=NO  kelly=7.29%  qty=1,01:12:31Z  KXBTC15M-26JAN172015-15  tte=2m28s  spot=$94836.26  strike=$95069.63  spot_src=vwap_60s  fee_mode=taker  fee/c=-  p_up=0.27%  mkt=1.00%  EV_yes=-1.73%  EV_no=0.73%  decision=NO  kelly=7.29%  qty=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:32.677232+00:00,1768698752.677232,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172015-15,KXBTC15M-26JAN172015-15,,,,,,,,,,,,,,,,,,,,20260118_011226_2ab9ead6,0,,KXBTC15M-26JAN172015-15,,,NO,0.07286865487694742,1,,,94836.2558409268,95069.63,floor_strike,148,,,taker,,,,,0.0027131345123052597,0.9972868654876947,0.01,0.99,,,,,,,"{""coinbase_best_ask"": 94844.02, ""coinbase_best_bid"": 94844.01, ""coinbase_mid_usd"": 94844.015, ""coinbase_vwap_60s"": 94836.2558409268, ""coinbase_vwap_age_ms"": 1531, ""coinbase_vwap_count"": 100, ""spot_source"": ""vwap_60s""}",
2026-01-18T01:12:32.677579+00:00,1768698752.677579,INFO,__main__,,01:12:31Z  KXBTC15M-26JAN172030-30  tte=17m28s  spot=-  strike=$2026.00  spot_src=-  fee_mode=taker  fee/c=-  p_up=-  mkt=-  EV_yes=-  EV_no=-  decision=-  kelly=-  qty=-  error=missing market_p_yes/market_p_no,01:12:31Z  KXBTC15M-26JAN172030-30  tte=17m28s  spot=-  strike=$2026.00  spot_src=-  fee_mode=taker  fee/c=-  p_up=-  mkt=-  EV_yes=-  EV_no=-  decision=-  kelly=-  qty=-  error=missing market_p_yes/market_p_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:32.677746+00:00,1768698752.677746,INFO,__main__,PRED_SNAPSHOT,PRED_SNAPSHOT %s,PRED_SNAPSHOT KXBTC15M-26JAN172030-30,KXBTC15M-26JAN172030-30,,,,,,,,,,,,,,,,,,,,20260118_011226_2ab9ead6,0,,KXBTC15M-26JAN172030-30,,,,,,,,,2026.0,rules_primary,1048,,,taker,,,,,,,,,,,,,missing market_p_yes/market_p_no,signal_error,"{""coinbase_best_ask"": 94844.02, ""coinbase_best_bid"": 94844.01, ""coinbase_mid_usd"": 94844.015, ""coinbase_vwap_60s"": 94836.2558409268, ""coinbase_vwap_age_ms"": 1531, ""coinbase_vwap_count"": 100, ""spot_source"": null}",
2026-01-18T01:12:32.677964+00:00,1768698752.677964,INFO,tradebot.tools.order_execution,ENTRY_BLOCK,ENTRY_BLOCK %s side=%s ev_after_fees=%.4f <= min_entry_edge=%.4f (tte=%ds threshold=%ds),ENTRY_BLOCK KXBTC15M-26JAN172015-15 side=NO ev_after_fees=0.0073 <= min_entry_edge=0.0500 (tte=148s threshold=300s),KXBTC15M-26JAN172015-15,NO,0.007286865487694749,0.05,148,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:32.678144+00:00,1768698752.678144,INFO,tradebot.tools.order_execution,ORDER_BLOCK,ORDER_BLOCK %s side=%s reason_block=min_entry_edge,ORDER_BLOCK KXBTC15M-26JAN172015-15 side=NO reason_block=min_entry_edge,KXBTC15M-26JAN172015-15,NO,,,,,,,,,,,,,,,,,,,20260118_011226_2ab9ead6,0,,KXBTC15M-26JAN172015-15,NO,,,,,,,,,,148,,,,,,,0.007286865487694749,,,,,min_entry_edge,,,,,,"{""effective_min_entry_edge"": 0.05}",
2026-01-18T01:12:41.243824+00:00,1768698761.243824,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94858.79 kr_mid=94832.15 composite=94845.47 diff=+26.65,94858.79,94832.15,94845.47,+26.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:41.244143+00:00,1768698761.244143,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768698760501 now_ms_local=1768698760501 trades_ingested=49 vwap_count=149 vwap_60s=94837.39 vwap_age_ms=2425 cb_bid=94858.79 cb_ask=94858.80 cb_mid=94858.79,1768698760501,1768698760501,49,149,94837.39,2425,94858.79,94858.80,94858.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:41.704931+00:00,1768698761.704931,INFO,tradebot.tools.kalshi_market_poll,MARKET_STATUSES,MARKET_STATUSES series=%s total=%d today_prefix=%s today_count=%d unique_statuses=%s,"MARKET_STATUSES series=KXBTC15M total=200 today_prefix=KXBTC15M-26JAN17 today_count=96 unique_statuses={'initialized', 'active', 'finalized'}",KXBTC15M,200,KXBTC15M-26JAN17,96,"{'initialized', 'active', 'finalized'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:12:41.705245+00:00,1768698761.705245,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=0 ticker=KXBTC15M-26JAN172345-45 status=initialized cutoff=2026-01-18T04:45:00+00:00 field=close_time close_time=2026-01-18T04:45:00Z exp_time=2026-01-25T04:45:00Z,0,KXBTC15M-26JAN172345-45,initialized,2026-01-18T04:45:00+00:00,close_time,2026-01-18T04:45:00Z,2026-01-25T04:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
