ticker,tte_bucket,side,p_cal,entry_price,fee,ev,min_edge,win,gross_pnl,pnl,y_true
KXBTC15M-26JAN190930-30,360,YES,0.909669,0.773,0.02,0.13666899999999993,0.025,0,-0.773,-0.793,0
KXBTC15M-26JAN191000-00,340,YES,0.724777,0.713,0.02,0.011777000000000041,0.01,1,0.28700000000000003,0.267,1
KXBTC15M-26JAN191015-15,340,YES,0.984238,0.963,0.01,0.021237999999999983,0.01,1,0.03700000000000003,0.02700000000000003,1
KXBTC15M-26JAN191045-45,360,YES,0.733627,0.663,0.02,0.070627,0.025,1,0.33699999999999997,0.31699999999999995,1
KXBTC15M-26JAN191100-00,360,YES,0.89144,0.753,0.02,0.13844,0.025,1,0.247,0.227,1
KXBTC15M-26JAN191115-15,360,YES,0.411402,0.343,0.02,0.06840199999999996,0.025,0,-0.343,-0.36300000000000004,0
KXBTC15M-26JAN191130-30,360,YES,0.914654,0.873,0.01,0.04165399999999997,0.025,1,0.127,0.117,1
KXBTC15M-26JAN191145-45,360,YES,0.877705,0.823,0.02,0.054705000000000004,0.025,1,0.17700000000000005,0.15700000000000006,1
KXBTC15M-26JAN191200-00,360,YES,0.779375,0.713,0.02,0.06637500000000007,0.025,1,0.28700000000000003,0.267,1
KXBTC15M-26JAN191215-15,360,YES,0.249669,0.163,0.01,0.086669,0.025,1,0.837,0.827,1
KXBTC15M-26JAN191230-30,260,YES,0.587569,0.483,0.02,0.10456900000000002,0.01,0,-0.483,-0.503,0
KXBTC15M-26JAN191245-45,120,YES,0.079953,0.013000000000000001,0.01,0.066953,0.01,0,-0.013000000000000001,-0.023,0
KXBTC15M-26JAN191300-00,360,YES,0.917209,0.843,0.01,0.07420900000000008,0.025,1,0.15700000000000003,0.14700000000000002,1
KXBTC15M-26JAN191315-15,360,YES,0.147515,0.10300000000000001,0.01,0.044515,0.025,0,-0.10300000000000001,-0.113,0
KXBTC15M-26JAN191330-30,300,YES,0.236875,0.213,0.02,0.02387500000000001,0.01,0,-0.213,-0.23299999999999998,0
KXBTC15M-26JAN191345-45,340,YES,0.884847,0.853,0.01,0.03184700000000007,0.01,1,0.14700000000000002,0.137,1
KXBTC15M-26JAN191400-00,360,YES,0.240441,0.183,0.02,0.05744099999999999,0.025,0,-0.183,-0.20299999999999999,0
KXBTC15M-26JAN191415-15,360,YES,0.47649,0.413,0.02,0.06349000000000005,0.025,0,-0.413,-0.433,0
KXBTC15M-26JAN191430-30,360,YES,0.800286,0.753,0.02,0.04728600000000005,0.025,1,0.247,0.227,1
KXBTC15M-26JAN191445-45,360,YES,0.672038,0.613,0.02,0.059038000000000035,0.025,1,0.387,0.367,1
KXBTC15M-26JAN191500-00,340,YES,0.417722,0.293,0.02,0.124722,0.01,0,-0.293,-0.313,0
KXBTC15M-26JAN191515-15,360,YES,0.859471,0.8130000000000001,0.02,0.04647099999999993,0.025,1,0.18699999999999994,0.16699999999999995,1
KXBTC15M-26JAN191530-30,360,YES,0.750879,0.723,0.02,0.02787899999999999,0.025,1,0.277,0.257,1
KXBTC15M-26JAN191545-45,360,YES,0.238368,0.213,0.02,0.025368000000000005,0.025,0,-0.213,-0.23299999999999998,0
KXBTC15M-26JAN191600-00,320,YES,0.236331,0.203,0.02,0.033331,0.01,0,-0.203,-0.223,0
KXBTC15M-26JAN191615-15,340,YES,0.960864,0.933,0.01,0.027864000000000003,0.01,0,-0.933,-0.9430000000000001,0
KXBTC15M-26JAN191630-30,360,YES,0.433543,0.363,0.02,0.07054300000000002,0.025,0,-0.363,-0.383,0
KXBTC15M-26JAN191645-45,360,YES,0.686474,0.583,0.02,0.10347400000000007,0.025,1,0.41700000000000004,0.397,1
KXBTC15M-26JAN191700-00,360,YES,0.263582,0.223,0.02,0.04058199999999998,0.025,0,-0.223,-0.243,0
KXBTC15M-26JAN191715-15,300,YES,0.079692,0.043000000000000003,0.01,0.036691999999999995,0.01,0,-0.043000000000000003,-0.053000000000000005,0
KXBTC15M-26JAN191730-30,260,YES,0.989166,0.963,0.01,0.026166000000000026,0.01,1,0.03700000000000003,0.02700000000000003,1
KXBTC15M-26JAN191745-45,360,YES,0.097403,0.053000000000000005,0.01,0.044403,0.025,0,-0.053000000000000005,-0.063,0
KXBTC15M-26JAN191800-00,340,YES,0.42559,0.263,0.02,0.16259,0.01,0,-0.263,-0.28300000000000003,0
KXBTC15M-26JAN191815-15,360,YES,0.248922,0.113,0.01,0.135922,0.025,0,-0.113,-0.123,0
KXBTC15M-26JAN191830-30,280,YES,0.498124,0.423,0.02,0.07512400000000002,0.01,1,0.577,0.5569999999999999,1
KXBTC15M-26JAN191845-45,360,YES,0.956484,0.873,0.01,0.083484,0.025,1,0.127,0.117,1
KXBTC15M-26JAN191900-00,360,YES,0.342569,0.263,0.02,0.079569,0.025,0,-0.263,-0.28300000000000003,0
