trade_id,price,size,timestamp
936118891,94433.5,0.00030719,2026-01-13T21:22:02.965356Z
936118892,94433.5,0.00005341,2026-01-13T21:22:02.965356Z
936118893,94435.49,0.00066855,2026-01-13T21:22:02.965356Z
936118890,94433.49,0.00000001,2026-01-13T21:22:02.947387Z
936118889,94433.5,0.00001048,2026-01-13T21:22:02.944228Z
936118888,94433.46,0.00000001,2026-01-13T21:22:02.608789Z
936118887,94433.49,0.00154372,2026-01-13T21:22:02.593248Z
936118886,94432.43,0.00053306,2026-01-13T21:22:02.462175Z
936118885,94432.34,0.00000001,2026-01-13T21:22:02.424586Z
936118881,94432.08,0.00399997,2026-01-13T21:22:02.323201Z
936118884,94432.07,0.00187538,2026-01-13T21:22:02.323201Z
936118883,94432.07,0.03404871,2026-01-13T21:22:02.323201Z
936118882,94432.08,0.005,2026-01-13T21:22:02.323201Z
936118880,94432.01,0.00000001,2026-01-13T21:22:02.234306Z
936118879,94429.9,0.0158848,2026-01-13T21:22:02.127524Z
936118878,94429.6,0.00031768,2026-01-13T21:22:02.127524Z
936118877,94428.48,0.11344732,2026-01-13T21:22:02.127043Z
936118876,94428.44,0.10386939,2026-01-13T21:22:02.127043Z
936118875,94428.44,0.0020309,2026-01-13T21:22:01.986897Z
936118874,94428.44,0.0000274,2026-01-13T21:22:01.986897Z
936118873,94428.43,0.00000001,2026-01-13T21:22:01.883571Z
936118872,94428.44,0.00002809,2026-01-13T21:22:01.533077Z
936118871,94428.43,0.00000001,2026-01-13T21:22:01.235271Z
936118870,94428.47,0.0105903,2026-01-13T21:22:01.212742Z
936118869,94428.47,0.00529501,2026-01-13T21:22:01.212742Z
936118868,94428.47,0.00003832,2026-01-13T21:22:01.212742Z
936118867,94428.47,0.00000001,2026-01-13T21:22:01.048193Z
936118866,94428.41,0.00000001,2026-01-13T21:22:00.722414Z
936118865,94429.5,0.00001048,2026-01-13T21:22:00.682170Z
936118864,94428.18,0.00000001,2026-01-13T21:22:00.540678Z
936118863,94429.49,0.0010484,2026-01-13T21:22:00.519465Z
936118861,94428.08,0.00001343,2026-01-13T21:22:00.391854Z
936118862,94428.08,0.00028488,2026-01-13T21:22:00.391854Z
936118860,94428.07,0.00000001,2026-01-13T21:22:00.384509Z
936118859,94428.07,0.00000001,2026-01-13T21:22:00.073334Z
936118858,94428.07,0.00000001,2026-01-13T21:21:59.905630Z
936118857,94428.03,0.00000025,2026-01-13T21:21:59.752916Z
936118856,94426.89,0.00000001,2026-01-13T21:21:59.711842Z
936118851,94426.03,0.00046036,2026-01-13T21:21:59.699413Z
936118855,94427.15,0.06930396,2026-01-13T21:21:59.699413Z
936118854,94426.03,0.0003177,2026-01-13T21:21:59.699413Z
936118853,94426.03,0.00002,2026-01-13T21:21:59.699413Z
936118852,94426.03,0.00529515,2026-01-13T21:21:59.699413Z
936118850,94426.03,0.00178529,2026-01-13T21:21:59.699413Z
936118849,94426.03,0.00031394,2026-01-13T21:21:59.570669Z
936118848,94426.03,0.00021026,2026-01-13T21:21:59.570669Z
936118847,94426.02,0.00000001,2026-01-13T21:21:59.451491Z
936118846,94426.02,0.00000001,2026-01-13T21:21:59.288288Z
936118845,94426.02,0.0003176,2026-01-13T21:21:59.266015Z
936118844,94426.02,0.00000001,2026-01-13T21:21:59.114183Z
936118843,94426.02,0.00000001,2026-01-13T21:21:58.789082Z
936118842,94426.02,0.00000001,2026-01-13T21:21:58.610922Z
936118841,94426.02,0.00000001,2026-01-13T21:21:58.473928Z
936118840,94426.03,0.00001048,2026-01-13T21:21:58.436410Z
936118839,94426.02,0.00000001,2026-01-13T21:21:58.143992Z
936118838,94426.02,0.00000001,2026-01-13T21:21:57.937515Z
936118837,94426.02,0.00000001,2026-01-13T21:21:57.779655Z
936118836,94426.02,0.00000001,2026-01-13T21:21:57.470197Z
936118835,94426.02,0.00000001,2026-01-13T21:21:57.259095Z
936118828,94426.03,0.00529515,2026-01-13T21:21:57.236127Z
936118834,94426.03,0.00327797,2026-01-13T21:21:57.236127Z
936118833,94426.03,0.00489818,2026-01-13T21:21:57.236127Z
936118832,94426.03,0.00552358,2026-01-13T21:21:57.236127Z
936118831,94426.03,0.00178968,2026-01-13T21:21:57.236127Z
936118830,94426.03,0.00004828,2026-01-13T21:21:57.236127Z
936118829,94426.03,0.01370716,2026-01-13T21:21:57.236127Z
936118827,94426.03,0.08846,2026-01-13T21:21:57.236127Z
936118826,94426.02,0.00000001,2026-01-13T21:21:57.113125Z
936118825,94426.02,0.00909139,2026-01-13T21:21:56.983100Z
936118824,94426.02,0.00000001,2026-01-13T21:21:56.788080Z
936118823,94426.02,0.00000001,2026-01-13T21:21:56.638382Z
936118822,94428.59,0.030694,2026-01-13T21:21:56.589724Z
936118821,94428.59,0.00000529,2026-01-13T21:21:56.589724Z
936118820,94430,0.00441489,2026-01-13T21:21:56.401044Z
936118819,94430,0.00045802,2026-01-13T21:21:56.396871Z
936118816,94430,0.00000878,2026-01-13T21:21:56.396278Z
936118818,94430,0.00042201,2026-01-13T21:21:56.396278Z
936118817,94430,0.00000878,2026-01-13T21:21:56.396278Z
936118815,94430,0.00119053,2026-01-13T21:21:56.396278Z
