ticker,p_yes,y
KXBTC15M-26JAN172030-30,0.9968966245651244,1
KXBTC15M-26JAN172045-45,0.004325698595494,0
KXBTC15M-26JAN172100-00,0.0828231275081634,0
KXBTC15M-26JAN172115-15,0.9963626265525818,1
KXBTC15M-26JAN172130-30,0.0050248126499354,1
KXBTC15M-26JAN172145-45,0.0019711984787136,0
KXBTC15M-26JAN172200-00,0.996113419532776,1
KXBTC15M-26JAN172215-15,0.9963486194610596,1
KXBTC15M-26JAN172230-30,0.9957804679870604,1
KXBTC15M-26JAN172245-45,0.9967309236526488,1
KXBTC15M-26JAN172300-00,0.9950348138809204,1
KXBTC15M-26JAN172315-15,0.0021593526471406,0
KXBTC15M-26JAN172330-30,0.0340816155076026,0
KXBTC15M-26JAN172345-45,0.0030433423817157,0
KXBTC15M-26JAN180245-45,0.0017118044197559,0
KXBTC15M-26JAN180300-00,0.9945135116577148,1
KXBTC15M-26JAN180315-15,0.3615926504135132,1
KXBTC15M-26JAN180330-30,0.9675970673561096,1
KXBTC15M-26JAN180345-45,0.9978572726249696,1
KXBTC15M-26JAN180400-00,0.9956783652305604,1
KXBTC15M-26JAN180415-15,0.0030302281957119,0
KXBTC15M-26JAN180430-30,0.9967179894447328,1
KXBTC15M-26JAN180445-45,0.9976823329925536,1
KXBTC15M-26JAN180500-00,0.9976227879524232,1
KXBTC15M-26JAN180515-15,0.0017709755338728,0
KXBTC15M-26JAN180530-30,0.0041130241006612,0
KXBTC15M-26JAN180545-45,0.9968363046646118,1
KXBTC15M-26JAN180600-00,0.9962360262870787,1
KXBTC15M-26JAN180615-15,0.0027196942828595,0
KXBTC15M-26JAN180630-30,0.0043731816112995,0
KXBTC15M-26JAN180645-45,0.8756716847419739,1
KXBTC15M-26JAN180700-00,0.995859920978546,1
KXBTC15M-26JAN180715-15,0.0299421399831771,0
KXBTC15M-26JAN180730-30,0.004475959111005,1
KXBTC15M-26JAN180745-45,0.9951908588409424,1
KXBTC15M-26JAN180800-00,0.0022996484767645,0
KXBTC15M-26JAN180815-15,0.0028642360121011,0
KXBTC15M-26JAN180830-30,0.0024199686013162,0
KXBTC15M-26JAN180845-45,0.9989023208618164,1
KXBTC15M-26JAN180900-00,0.0031352248042821,0
KXBTC15M-26JAN180915-15,0.7051737904548645,1
KXBTC15M-26JAN180930-30,0.0049821161665022,0
KXBTC15M-26JAN180945-45,0.0031536512542515,0
KXBTC15M-26JAN181000-00,0.0018192243296653,0
KXBTC15M-26JAN181015-15,0.9961679577827454,1
KXBTC15M-26JAN181030-30,0.9974479675292968,1
KXBTC15M-26JAN181130-30,0.0030403765849769,0
KXBTC15M-26JAN181145-45,0.9973552227020264,1
KXBTC15M-26JAN181200-00,0.2147157788276672,0
KXBTC15M-26JAN181215-15,0.984500527381897,1
KXBTC15M-26JAN181230-30,0.9961475133895874,1
KXBTC15M-26JAN181245-45,0.0031323393341153,0
