ticker,p_yes,y
KXBTC15M-26JAN172030-30,0.9968966245651244,1
KXBTC15M-26JAN172045-45,0.0043334849178791,0
KXBTC15M-26JAN172100-00,0.0032173742074519,0
KXBTC15M-26JAN172115-15,0.9963907599449158,1
KXBTC15M-26JAN172130-30,0.0057625160552561,1
KXBTC15M-26JAN172145-45,0.0027407463639974,0
KXBTC15M-26JAN172200-00,0.9961656332015992,1
KXBTC15M-26JAN172215-15,0.9964233040809632,1
KXBTC15M-26JAN172230-30,0.9957804679870604,1
KXBTC15M-26JAN172245-45,0.9967309236526488,1
KXBTC15M-26JAN172300-00,0.9950348138809204,1
KXBTC15M-26JAN172315-15,0.0021593526471406,0
KXBTC15M-26JAN172330-30,0.0027054199017584,0
KXBTC15M-26JAN172345-45,0.0030433423817157,0
KXBTC15M-26JAN180245-45,0.0020921980030834,0
KXBTC15M-26JAN180300-00,0.996130108833313,1
KXBTC15M-26JAN180315-15,0.0047200648114085,1
KXBTC15M-26JAN180330-30,0.9972944855690002,1
KXBTC15M-26JAN180345-45,0.9978572726249696,1
KXBTC15M-26JAN180400-00,0.9956783652305604,1
KXBTC15M-26JAN180415-15,0.0039419620297849,0
KXBTC15M-26JAN180430-30,0.9967179894447328,1
KXBTC15M-26JAN180445-45,0.9976823329925536,1
KXBTC15M-26JAN180500-00,0.9973620772361756,1
KXBTC15M-26JAN180515-15,0.0017709755338728,0
KXBTC15M-26JAN180530-30,0.0041130241006612,0
KXBTC15M-26JAN180545-45,0.9968363046646118,1
KXBTC15M-26JAN180600-00,0.9962360262870787,1
KXBTC15M-26JAN180615-15,0.0027742127422243,0
KXBTC15M-26JAN180630-30,0.0043731816112995,0
KXBTC15M-26JAN180645-45,0.9963560104370116,1
KXBTC15M-26JAN180700-00,0.995859920978546,1
KXBTC15M-26JAN180715-15,0.0024930988438427,0
KXBTC15M-26JAN180730-30,0.0058288997970521,1
KXBTC15M-26JAN180745-45,0.9951908588409424,1
KXBTC15M-26JAN180800-00,0.0022991180885583,0
KXBTC15M-26JAN180815-15,0.0028642360121011,0
KXBTC15M-26JAN180830-30,0.0023830193094909,0
KXBTC15M-26JAN180845-45,0.9990021586418152,1
KXBTC15M-26JAN180900-00,0.0042976774275302,0
KXBTC15M-26JAN180915-15,0.9969151020050048,1
KXBTC15M-26JAN180930-30,0.0057606915943324,0
KXBTC15M-26JAN180945-45,0.0033233847934752,0
KXBTC15M-26JAN181000-00,0.0015777819789946,0
KXBTC15M-26JAN181015-15,0.9961679577827454,1
KXBTC15M-26JAN181030-30,0.997652232646942,1
KXBTC15M-26JAN181130-30,0.0079240556806325,0
KXBTC15M-26JAN181145-45,0.9973426461219788,1
KXBTC15M-26JAN181200-00,0.9178074598312378,0
KXBTC15M-26JAN181215-15,0.9797400832176208,1
KXBTC15M-26JAN181230-30,0.9961475133895874,1
KXBTC15M-26JAN181245-45,0.0031323393341153,0
KXBTC15M-26JAN181300-00,0.9482510685920716,1
KXBTC15M-26JAN181315-15,0.0392215549945831,0
KXBTC15M-26JAN181330-30,0.8982123136520386,1
KXBTC15M-26JAN181345-45,0.1742636263370514,0
KXBTC15M-26JAN181400-00,0.9995344877243042,1
KXBTC15M-26JAN181415-15,0.02735654450953,0
KXBTC15M-26JAN181430-30,0.9556416273117064,1
KXBTC15M-26JAN181445-45,0.057977695018053,0
KXBTC15M-26JAN181500-00,0.0162433590739965,0
KXBTC15M-26JAN181800-00,0.8864737749099731,1
KXBTC15M-26JAN181815-15,8.175973198376596e-05,0
KXBTC15M-26JAN181830-30,0.0002453198831062,0
KXBTC15M-26JAN181845-45,0.0004486156976781,0
KXBTC15M-26JAN181900-00,7.762874156469479e-05,0
KXBTC15M-26JAN181915-15,0.0002605667687021,0
KXBTC15M-26JAN181930-30,0.9812164902687072,1
KXBTC15M-26JAN181945-45,0.9999252557754515,1
KXBTC15M-26JAN182000-00,0.0001761248713592,0
KXBTC15M-26JAN182015-15,0.9982587695121764,1
KXBTC15M-26JAN182030-30,0.0007912192959338,0
KXBTC15M-26JAN182045-45,0.0184878166764974,0
KXBTC15M-26JAN182100-00,0.009570887312293,1
KXBTC15M-26JAN182115-15,0.0006017619161866,0
KXBTC15M-26JAN182130-30,0.9924813508987428,1
KXBTC15M-26JAN182145-45,0.9958404898643494,1
KXBTC15M-26JAN182200-00,0.0087543800473213,1
KXBTC15M-26JAN182215-15,0.9989424347877502,1
KXBTC15M-26JAN182230-30,0.0004335298144724,0
KXBTC15M-26JAN182330-30,0.9371070861816406,1
KXBTC15M-26JAN182345-45,0.9760920405387878,1
KXBTC15M-26JAN190000-00,0.9301680326461792,1
KXBTC15M-26JAN190015-15,0.9845483303070068,0
KXBTC15M-26JAN190030-30,0.0024872689973562,0
KXBTC15M-26JAN190045-45,0.9868701100349426,1
KXBTC15M-26JAN190100-00,0.001338709029369,0
KXBTC15M-26JAN190115-15,0.014506715349853,1
KXBTC15M-26JAN190130-30,0.9959065914154052,1
KXBTC15M-26JAN190145-45,0.0050268517807126,0
KXBTC15M-26JAN190200-00,0.9663807153701782,1
KXBTC15M-26JAN190215-15,0.9640300869941713,1
KXBTC15M-26JAN190230-30,0.0395523160696029,1
KXBTC15M-26JAN190245-45,0.9881933331489564,1
KXBTC15M-26JAN190300-00,0.9995054006576538,1
KXBTC15M-26JAN190315-15,0.1351703703403473,0
KXBTC15M-26JAN190330-30,0.9999158382415771,1
KXBTC15M-26JAN190345-45,0.9990265369415284,1
