ticker,p_yes,y
KXBTC15M-26JAN172030-30,0.879332423210144,1
KXBTC15M-26JAN172045-45,0.3007042109966278,0
KXBTC15M-26JAN172100-00,0.1129254847764968,0
KXBTC15M-26JAN172115-15,0.8881720900535583,1
KXBTC15M-26JAN172130-30,0.6439430713653564,1
KXBTC15M-26JAN172145-45,0.0534568428993225,0
KXBTC15M-26JAN172200-00,0.5563532710075378,1
KXBTC15M-26JAN172215-15,0.6084192991256714,1
KXBTC15M-26JAN172230-30,0.2816227972507477,1
KXBTC15M-26JAN172245-45,0.8720917701721191,1
KXBTC15M-26JAN172300-00,0.5045446157455444,1
KXBTC15M-26JAN172315-15,0.2480177730321884,0
KXBTC15M-26JAN172330-30,0.1366536915302276,0
KXBTC15M-26JAN172345-45,0.1416144371032714,0
KXBTC15M-26JAN180015-15,0.1383778899908065,0
KXBTC15M-26JAN180245-45,0.1046529188752174,0
KXBTC15M-26JAN180300-00,0.6061773896217346,1
KXBTC15M-26JAN180315-15,0.3149493634700775,1
KXBTC15M-26JAN180330-30,0.6078314781188965,1
KXBTC15M-26JAN180345-45,0.8357736468315125,1
KXBTC15M-26JAN180400-00,0.6765178442001343,1
KXBTC15M-26JAN180415-15,0.2614631354808807,0
KXBTC15M-26JAN180430-30,0.7614595890045166,1
KXBTC15M-26JAN180445-45,0.7598074078559875,1
KXBTC15M-26JAN180500-00,0.8622238039970398,1
KXBTC15M-26JAN180515-15,0.0578889809548854,0
KXBTC15M-26JAN180530-30,0.2247179001569748,0
KXBTC15M-26JAN180545-45,0.2974273562431335,1
KXBTC15M-26JAN180600-00,0.5824315547943115,1
KXBTC15M-26JAN180615-15,0.1169245690107345,0
KXBTC15M-26JAN180630-30,0.3572148084640503,0
KXBTC15M-26JAN180645-45,0.1204673200845718,1
KXBTC15M-26JAN180700-00,0.8790684938430786,1
KXBTC15M-26JAN180715-15,0.2108466625213623,0
KXBTC15M-26JAN180730-30,0.2903788685798645,1
KXBTC15M-26JAN180745-45,0.6844518184661865,1
KXBTC15M-26JAN180800-00,0.1076000034809112,0
KXBTC15M-26JAN180815-15,0.1052550300955772,0
KXBTC15M-26JAN180830-30,0.0751551240682601,0
KXBTC15M-26JAN180845-45,0.5715216994285583,1
KXBTC15M-26JAN180900-00,0.3485974073410034,0
KXBTC15M-26JAN180915-15,0.3106580376625061,1
KXBTC15M-26JAN180930-30,0.4459710419178009,0
KXBTC15M-26JAN180945-45,0.2348475009202957,0
KXBTC15M-26JAN181000-00,0.1517708748579025,0
KXBTC15M-26JAN181015-15,0.6821644902229309,1
KXBTC15M-26JAN181030-30,0.7868562340736389,1
KXBTC15M-26JAN181145-45,0.5939125418663025,1
KXBTC15M-26JAN181200-00,0.5212917923927307,0
KXBTC15M-26JAN181215-15,0.7908348441123962,1
KXBTC15M-26JAN181230-30,0.6675630807876587,1
KXBTC15M-26JAN181245-45,0.136419728398323,0
KXBTC15M-26JAN181300-00,0.5811744332313538,1
KXBTC15M-26JAN181315-15,0.3435552418231964,0
KXBTC15M-26JAN181330-30,0.311311274766922,1
KXBTC15M-26JAN181345-45,0.2648263573646545,0
KXBTC15M-26JAN181400-00,0.84200119972229,1
KXBTC15M-26JAN181415-15,0.5488229393959045,0
KXBTC15M-26JAN181430-30,0.6164053082466125,1
KXBTC15M-26JAN181445-45,0.5593639016151428,0
KXBTC15M-26JAN181500-00,0.1090115383267402,0
KXBTC15M-26JAN181815-15,0.0286957845091819,0
KXBTC15M-26JAN181830-30,0.0309529565274715,0
KXBTC15M-26JAN181845-45,0.5957224369049072,0
KXBTC15M-26JAN181900-00,0.0073233465664088,0
KXBTC15M-26JAN181915-15,0.0277506690472364,0
KXBTC15M-26JAN181930-30,0.8038942813873291,1
KXBTC15M-26JAN181945-45,0.8067984580993652,1
KXBTC15M-26JAN182000-00,0.0908151865005493,0
KXBTC15M-26JAN182015-15,0.720003604888916,1
KXBTC15M-26JAN182030-30,0.1190211772918701,0
KXBTC15M-26JAN182045-45,0.5720636248588562,0
KXBTC15M-26JAN182100-00,0.0244153998792171,1
KXBTC15M-26JAN182115-15,0.1726499497890472,0
KXBTC15M-26JAN182130-30,0.9730014204978944,1
KXBTC15M-26JAN182145-45,0.7523095011711121,1
KXBTC15M-26JAN182200-00,0.3442972302436828,1
KXBTC15M-26JAN182215-15,0.908441722393036,1
KXBTC15M-26JAN182230-30,0.0307347830384969,0
KXBTC15M-26JAN182330-30,0.0597293861210346,1
KXBTC15M-26JAN182345-45,0.3066723346710205,1
KXBTC15M-26JAN190015-15,0.7779377102851868,0
KXBTC15M-26JAN190030-30,0.1461009532213211,0
KXBTC15M-26JAN190045-45,0.427977979183197,1
KXBTC15M-26JAN190100-00,0.0723253265023231,0
KXBTC15M-26JAN190115-15,0.6518919467926025,1
